NACA 65(2)-415
    1.000000       0.000000    
   0.9966707      0.6898960E-03
   0.9924722      0.1564064E-02
   0.9878666      0.2528304E-02
   0.9828608      0.3582646E-02
   0.9774773      0.4723927E-02
   0.9717488      0.5946720E-02
   0.9657234      0.7242203E-02
   0.9594568      0.8599724E-02
   0.9530023      0.1000886E-01
   0.9464038      0.1146067E-01
   0.9396970      0.1294754E-01
   0.9329082      0.1446336E-01
   0.9260577      0.1600293E-01
   0.9191601      0.1756217E-01
   0.9122260      0.1913794E-01
   0.9052628      0.2072774E-01
   0.8982753      0.2232942E-01
   0.8912666      0.2394110E-01
   0.8842398      0.2556059E-01
   0.8772007      0.2718494E-01
   0.8701573      0.2881058E-01
   0.8631165      0.3043424E-01
   0.8560823      0.3205339E-01
   0.8490560      0.3366628E-01
   0.8420365      0.3527193E-01
   0.8350217      0.3687029E-01
   0.8280111      0.3846137E-01
   0.8210049      0.4004489E-01
   0.8140038      0.4162045E-01
   0.8070086      0.4318765E-01
   0.8000206      0.4474583E-01
   0.7930424      0.4629398E-01
   0.7860763      0.4783049E-01
   0.7791234      0.4935386E-01
   0.7721832      0.5086295E-01
   0.7652552      0.5235670E-01
   0.7583386      0.5383412E-01
   0.7514316      0.5529444E-01
   0.7445306      0.5673741E-01
   0.7376323      0.5816357E-01
   0.7307351      0.5957333E-01
   0.7238386      0.6096677E-01
   0.7169429      0.6234393E-01
   0.7100479      0.6370483E-01
   0.7031550      0.6504932E-01
   0.6962672      0.6637677E-01
   0.6893873      0.6768580E-01
   0.6825171      0.6897516E-01
   0.6756571      0.7024372E-01
   0.6688077      0.7149040E-01
   0.6619688      0.7271416E-01
   0.6551397      0.7391407E-01
   0.6483188      0.7508950E-01
   0.6415045      0.7624018E-01
   0.6346957      0.7736583E-01
   0.6278917      0.7846622E-01
   0.6210922      0.7954109E-01
   0.6142974      0.8059019E-01
   0.6075082      0.8161315E-01
   0.6007260      0.8260940E-01
   0.5939529      0.8357800E-01
   0.5871907      0.8451793E-01
   0.5804409      0.8542797E-01
   0.5737040      0.8630687E-01
   0.5669799      0.8715356E-01
   0.5602683      0.8796704E-01
   0.5535682      0.8874643E-01
   0.5468786      0.8949096E-01
   0.5401977      0.9020003E-01
   0.5335240      0.9087338E-01
   0.5268564      0.9151075E-01
   0.5201947      0.9211178E-01
   0.5135387      0.9267608E-01
   0.5068879      0.9320325E-01
   0.5002417      0.9369290E-01
   0.4935995      0.9414471E-01
   0.4869605      0.9455846E-01
   0.4803242      0.9493395E-01
   0.4736903      0.9527098E-01
   0.4670583      0.9556936E-01
   0.4604279      0.9582880E-01
   0.4537983      0.9604902E-01
   0.4471675      0.9622982E-01
   0.4405337      0.9637140E-01
   0.4338953      0.9647399E-01
   0.4272510      0.9653798E-01
   0.4206002      0.9656381E-01
   0.4139427      0.9655185E-01
   0.4072779      0.9650238E-01
   0.4006049      0.9641575E-01
   0.3939230      0.9629240E-01
   0.3872311      0.9613284E-01
   0.3805286      0.9593777E-01
   0.3738153      0.9570798E-01
   0.3670917      0.9544428E-01
   0.3603584      0.9514747E-01
   0.3536166      0.9481839E-01
   0.3468684      0.9445786E-01
   0.3401172      0.9406666E-01
   0.3333664      0.9364486E-01
   0.3266181      0.9319230E-01
   0.3198732      0.9270880E-01
   0.3131325      0.9219426E-01
   0.3063969      0.9164857E-01
   0.2996672      0.9107162E-01
   0.2929443      0.9046329E-01
   0.2862290      0.8982337E-01
   0.2795218      0.8915163E-01
   0.2728233      0.8844782E-01
   0.2661339      0.8771169E-01
   0.2594539      0.8694300E-01
   0.2527838      0.8614152E-01
   0.2461240      0.8530701E-01
   0.2394752      0.8443925E-01
   0.2328379      0.8353801E-01
   0.2262127      0.8260305E-01
   0.2196003      0.8163416E-01
   0.2130015      0.8063119E-01
   0.2064176      0.7959410E-01
   0.1998503      0.7852288E-01
   0.1933020      0.7741746E-01
   0.1867757      0.7627782E-01
   0.1802742      0.7510350E-01
   0.1737998      0.7389382E-01
   0.1673541      0.7264809E-01
   0.1609388      0.7136576E-01
   0.1545557      0.7004640E-01
   0.1482081      0.6868990E-01
   0.1419004      0.6729641E-01
   0.1356374      0.6586555E-01
   0.1294235      0.6439683E-01
   0.1232629      0.6288976E-01
   0.1171599      0.6134412E-01
   0.1111198      0.5976018E-01
   0.1051497      0.5813914E-01
   0.9925910E-01  0.5648308E-01
   0.9345983E-01  0.5479480E-01
   0.8776541E-01  0.5307820E-01
   0.8219226E-01  0.5133882E-01
   0.7676088E-01  0.4958434E-01
   0.7149473E-01  0.4782335E-01
   0.6641910E-01  0.4606531E-01
   0.6155779E-01  0.4431972E-01
   0.5693017E-01  0.4259396E-01
   0.5254848E-01  0.4089499E-01
   0.4842036E-01  0.3923055E-01
   0.4454998E-01  0.3760854E-01
   0.4093713E-01  0.3603557E-01
   0.3757716E-01  0.3451692E-01
   0.3446104E-01  0.3305618E-01
   0.3157676E-01  0.3165552E-01
   0.2890978E-01  0.3031587E-01
   0.2644456E-01  0.2903770E-01
   0.2416542E-01  0.2782021E-01
   0.2205748E-01  0.2666009E-01
   0.2010635E-01  0.2555314E-01
   0.1829933E-01  0.2449298E-01
   0.1662481E-01  0.2347147E-01
   0.1507109E-01  0.2248207E-01
   0.1362733E-01  0.2152011E-01
   0.1228371E-01  0.2058199E-01
   0.1103148E-01  0.1966526E-01
   0.9863077E-02  0.1876804E-01
   0.8773027E-02  0.1788744E-01
   0.7756849E-02  0.1702007E-01
   0.6810048E-02  0.1616345E-01
   0.5928463E-02  0.1531616E-01
