NASA NLF(1)-0416
0.0076872 -0.0160398
0.0087815 -0.0168891
0.0099479 -0.0177306
0.0111862 -0.0185647
0.0124962 -0.0193919
0.0138775 -0.0202126
0.0153299 -0.0210272
0.0168532 -0.0218362
0.0184471 -0.0226398
0.0201114 -0.0234386
0.0218458 -0.0242328
0.0236500 -0.0250225
0.0255238 -0.0258078
0.0274671 -0.0265887
0.0294795 -0.0273654
0.0315607 -0.0281380
0.0337107 -0.0289065
0.0359290 -0.0296711
0.0382155 -0.0304319
0.0405697 -0.0311886
0.0429910 -0.0319410
0.0454786 -0.0326887
0.0480320 -0.0334315
0.0506506 -0.0341690
0.0533336 -0.0349009
0.0560805 -0.0356269
0.0588906 -0.0363467
0.0617634 -0.0370599
0.0646987 -0.0377662
0.0676966 -0.0384653
0.0707568 -0.0391568
0.0738796 -0.0398403
0.0770647 -0.0405155
0.0803122 -0.0411821
0.0836221 -0.0418396
0.0869943 -0.0424878
0.0904283 -0.0431262
0.0939231 -0.0437545
0.0974774 -0.0443721
0.1010902 -0.0449788
0.1047603 -0.0455739
0.1084865 -0.0461572
0.1122676 -0.0467282
0.1161026 -0.0472864
0.1199903 -0.0478316
0.1239303 -0.0483634
0.1279226 -0.0488818
0.1319669 -0.0493867
0.1360631 -0.0498781
0.1402111 -0.0503558
0.1444108 -0.0508197
0.1486621 -0.0512699
0.1529647 -0.0517061
0.1573183 -0.0521284
0.1617219 -0.0525366
0.1661743 -0.0529308
0.1706745 -0.0533108
0.1752215 -0.0536768
0.1798141 -0.0540286
0.1844514 -0.0543661
0.1891321 -0.0546895
0.1938554 -0.0549985
0.1986203 -0.0552934
0.2034263 -0.0555741
0.2082726 -0.0558408
0.2131585 -0.0560936
0.2180835 -0.0563325
0.2230469 -0.0565577
0.2280479 -0.0567692
0.2330859 -0.0569672
0.2381602 -0.0571517
0.2432701 -0.0573228
0.2484150 -0.0574806
0.2535940 -0.0576251
0.2588064 -0.0577565
0.2640516 -0.0578747
0.2693288 -0.0579800
0.2746373 -0.0580723
0.2799763 -0.0581517
0.2853450 -0.0582182
0.2907421 -0.0582720
0.2961667 -0.0583129
0.3016176 -0.0583410
0.3070938 -0.0583563
0.3125940 -0.0583588
0.3181173 -0.0583485
0.3236626 -0.0583254
0.3292287 -0.0582895
0.3348151 -0.0582408
0.3404209 -0.0581790
0.3460456 -0.0581041
0.3516885 -0.0580160
0.3573488 -0.0579145
0.3630259 -0.0577995
0.3687190 -0.0576710
0.3744276 -0.0575287
0.3801509 -0.0573724
0.3858881 -0.0572019
0.3916384 -0.0570166
0.3974012 -0.0568163
0.4031756 -0.0566006
0.4089609 -0.0563692
0.4147563 -0.0561216
0.4205611 -0.0558575
0.4263743 -0.0555765
0.4321947 -0.0552781
0.4380207 -0.0549618
0.4438506 -0.0546271
0.4496831 -0.0542732
0.4555164 -0.0538998
0.4613492 -0.0535063
0.4671797 -0.0530921
0.4730065 -0.0526567
0.4788284 -0.0521995
0.4846451 -0.0517202
0.4904563 -0.0512183
0.4962618 -0.0506934
0.5020611 -0.0501451
0.5078542 -0.0495729
0.5136407 -0.0489764
0.5194203 -0.0483551
0.5251928 -0.0477088
0.5309573 -0.0470374
0.5367129 -0.0463415
0.5424586 -0.0456212
0.5481932 -0.0448773
0.5539158 -0.0441099
0.5596253 -0.0433196
0.5653205 -0.0425068
0.5710006 -0.0416719
0.5766644 -0.0408155
0.5823111 -0.0399386
0.5879397 -0.0390426
0.5935495 -0.0381287
0.5991394 -0.0371982
0.6047086 -0.0362523
0.6102562 -0.0352924
0.6157814 -0.0343197
0.6212833 -0.0333354
0.6267610 -0.0323410
0.6322142 -0.0313378
0.6376423 -0.0303273
0.6430449 -0.0293110
0.6484215 -0.0282903
0.6537717 -0.0272666
0.6590950 -0.0262415
0.6643910 -0.0252164
0.6696592 -0.0241927
0.6748991 -0.0231719
0.6801102 -0.0221552
0.6852919 -0.0211438
0.6904438 -0.0201388
0.6955651 -0.0191413
0.7006555 -0.0181527
0.7057142 -0.0171740
0.7107409 -0.0162064
0.7157348 -0.0152510
0.7206955 -0.0143091
0.7256225 -0.0133817
0.7305155 -0.0124696
0.7353745 -0.0115733
0.7401993 -0.0106935
0.7449898 -0.0098307
0.7497460 -0.0089856
0.7544678 -0.0081587
0.7591549 -0.0073508
0.7638074 -0.0065623
0.7684250 -0.0057939
0.7730078 -0.0050462
0.7775554 -0.0043196
0.7820679 -0.0036143
0.7865449 -0.0029306
0.7909862 -0.0022685
0.7953917 -0.0016283
0.7997611 -0.0010102
0.8040943 -0.0004143
0.8083910 0.0001592
0.8126511 0.0007100
0.8168742 0.0012382
0.8210603 0.0017433
0.8252092 0.0022255
0.8293210 0.0026847
0.8333957 0.0031211
0.8374335 0.0035350
0.8414344 0.0039263
0.8453985 0.0042954
0.8493259 0.0046422
0.8532167 0.0049670
0.8570709 0.0052699
0.8608886 0.0055511
0.8646700 0.0058106
0.8684150 0.0060487
0.8721239 0.0062656
0.8757970 0.0064616
0.8794343 0.0066370
0.8830361 0.0067921
0.8866027 0.0069271
0.8901342 0.0070424
0.8936308 0.0071382
0.8970928 0.0072148
0.9005204 0.0072726
0.9039137 0.0073118
0.9072730 0.0073326
0.9105985 0.0073355
0.9138900 0.0073208
0.9171476 0.0072888
0.9203714 0.0072400
0.9235613 0.0071745
0.9267173 0.0070929
0.9298395 0.0069954
0.9329278 0.0068824
0.9359823 0.0067543
0.9390029 0.0066115
0.9419898 0.0064542
0.9449432 0.0062828
0.9478638 0.0060977
0.9507521 0.0058990
0.9536086 0.0056873
0.9564339 0.0054627
0.9592285 0.0052257
0.9619930 0.0049764
0.9647280 0.0047152
0.9674339 0.0044425
0.9701111 0.0041586
0.9727595 0.0038638
0.9753790 0.0035585
0.9779696 0.0032431
0.9805313 0.0029178
0.9830639 0.0025831
0.9855675 0.0022394
0.9880420 0.0018869
0.9904881 0.0015258
0.9929064 0.0011565
0.9952974 0.0007791
0.9976617 0.0003939
1.0000000 0.0000010
